labid	subid	CDI.form	CDI.agerange	CDI.agedays	vocab_nwords	standardized.score.CDI	CDI.error	Notes	subid_unique	standardized.score.CDI.num	language	language_zone	trial_order	method	age_days	age_mo	age_group	nae	gender	second_session	CDI.agemin	CDI.agemax	IDS_pref	CDI.nwords	CDI.prop	z_age_months	CDI.z_age_months	CDI.grouped.z_age_months	z_standardized_CDI	z_vocab_nwords	percentile
babylabbrookes	mb37	O-CDI	18	559	85	NA	FALSE	NA	babylabbrookes:mb37	NA	British English	British	1	singlescreen	97	3.18685831622177	3-6 mo	FALSE	F	FALSE	502	594	0.460175803529491	416	0.204326923076923	-6.6137707950819	-2.78155238368546	0.103256086828981	NA	-0.510263526359991	74
babylabbrookes	mb37	O-CDI	24	736	324	NA	FALSE	NA	babylabbrookes:mb37	NA	British English	British	1	singlescreen	97	3.18685831622177	3-6 mo	FALSE	F	FALSE	685	776	0.460175803529491	416	0.778846153846154	-6.6137707950819	3.03364268818313	0.109424265885705	NA	1.07407189270625	73
babylabbrookes	mb41	O-CDI	24	739	392	NA	FALSE	NA	babylabbrookes:mb41	NA	British English	British	3	singlescreen	161	5.28952772073922	3-6 mo	FALSE	M	FALSE	685	776	-0.33664152441445	416	0.942307692307692	-4.51110139056444	3.13220531651988	0.20798689422246	NA	1.5248451500138	86
babylabbrookes	mb45	O-CDI	24	762	265	NA	FALSE	NA	babylabbrookes:mb45	NA	British English	British	1	singlescreen	212	6.96509240246407	6-9 mo	FALSE	M	FALSE	685	776	0.214495242183587	416	0.637019230769231	-2.8355367088396	3.88785213376834	0.96363371147092	NA	0.682959801807054	49
babylabbrookes	mb46	O-CDI	18	551	72	NA	FALSE	NA	babylabbrookes:mb46	NA	British English	British	1	singlescreen	445	14.6201232032854	12-15 mo	FALSE	F	FALSE	502	594	0.187751004016064	416	0.173076923076923	4.81949409198176	-3.04438605925014	-0.159577588735701	NA	-0.596440766727611	71
babylabbrookes	mb46	O-CDI	24	733	252	NA	FALSE	NA	babylabbrookes:mb46	NA	British English	British	1	singlescreen	445	14.6201232032854	12-15 mo	FALSE	F	FALSE	685	776	0.187751004016064	416	0.605769230769231	4.81949409198176	2.93508005984637	0.0108616375489489	NA	0.596782561439434	56
babylabbrookes	mb49	O-CDI	18	556	48	NA	FALSE	NA	babylabbrookes:mb49	NA	British English	British	1	singlescreen	364	11.958932238193	9-12 mo	FALSE	F	FALSE	502	594	0.823120813693872	416	0.115384615384615	2.15830312688935	-2.88011501202221	0.00469345849222539	NA	-0.755537210483217	53
babylabbrookes	mb50	O-CDI	24	749	288	NA	FALSE	NA	babylabbrookes:mb50	NA	British English	British	2	singlescreen	255	8.37782340862423	6-9 mo	FALSE	F	FALSE	685	776	0.209574233399515	416	0.692307692307692	-1.42280570267943	3.46074741097573	0.536528988678312	NA	0.835427227072843	59
babylabbrookes	mb55	O-CDI	18	546	121	NA	FALSE	NA	babylabbrookes:mb55	NA	British English	British	2	singlescreen	424	13.9301848049281	12-15 mo	FALSE	M	FALSE	502	594	-0.0714598220796266	416	0.290865384615385	4.12955569362447	-3.20865710647806	-0.323848635963627	NA	-0.271618860726582	86
babylabbrookes	mb64	O-CDI	18	556	149	NA	FALSE	NA	babylabbrookes:mb64	NA	British English	British	3	singlescreen	120	3.94250513347022	3-6 mo	FALSE	M	FALSE	502	594	0.109071466761718	416	0.358173076923077	-5.85812397783344	-2.88011501202221	0.00469345849222539	NA	-0.0860063430117087	90
