dataset,subids
CDI,50177
CDI,50515
CDI,50712
CDI,50757
CDI,50775
CDI,50787
CDI,50825
CDI,50832
CDI,50967
CDI,51438
CDI,51544
CDI,51744
CDI,51864
CDI,51902
CDI,52032
CDI,52108
CDI,52113
CDI,52318
CDI,52411
CDI,52504
CDI,52592
CDI,52677
CDI,52738
CDI,52790
CDI,52825
CDI,52838
CDI,52845
CDI,52907
CDI,52929
CDI,53082
CDI,53118
CDI,53139
CDI,53610
CDI,53613
CDI,53792
CDI,53794
CDI,54079
CDI,54254
IDS,ac31
IDS,ad42
IDS,af30
IDS,am19
IDS,ap16
IDS,at41
IDS,aw15
IDS,c12
IDS,ef18
IDS,el35
IDS,ew07
IDS,fe40
IDS,ff08
IDS,fl26
IDS,gb04
IDS,gh14
IDS,gr45
IDS,hm33
IDS,hs46
IDS,hv25
IDS,hv36
IDS,ih34
IDS,ja19
IDS,jj27
IDS,jr20
IDS,js28
IDS,kw21
IDS,lc17
IDS,lf22
IDS,lp37
IDS,mb43
IDS,mk06
IDS,ml23
IDS,nk47
IDS,oj10
IDS,os32
IDS,ph39
IDS,qd38
IDS,qo11
IDS,rc16
IDS,sl05
IDS,ss09
IDS,tf44
IDS,th17
IDS,tm29
IDS,tp13
IDS,vd18
IDS,vf48
IDS,vm20
IDS,wm24
