dataset,subids
CDI,1020
CDI,1025
CDI,1115
CDI,1164
CDI,1220
CDI,1289
CDI,1327
CDI,1335
CDI,1366
CDI,1399
CDI,1417
CDI,1460
CDI,1470
CDI,1524
CDI,1696
CDI,1756
CDI,1793
CDI,1799
CDI,1817
CDI,1896
CDI,1934
CDI,1937
CDI,2086
CDI,2106
CDI,2196
CDI,2287
CDI,2329
CDI,2531
CDI,2566
CDI,2661
CDI,2702
CDI,2739
CDI,2920
CDI,2966
CDI,3004
CDI,3052
CDI,3092
CDI,3120
CDI,3137
CDI,3645
CDI,3685
CDI,3780
CDI,3886
CDI,3933
CDI,3949
CDI,4022
CDI,4041
CDI,4048
CDI,4051
CDI,4065
CDI,4073
CDI,4080
CDI,4161
CDI,4165
CDI,4192
CDI,4204
CDI,4239
CDI,4392
CDI,4552
CDI,4620
CDI,4625
CDI,4718
CDI,4790
CDI,4901
