dataset,subids
CDI,10lscppsllscppsl
CDI,11lscppsllscppsl
CDI,13lscppsllscppsl
CDI,17lscppsllscppsl
CDI,19lscppsllscppsl
CDI,21lscppsllscppsl
CDI,23lscppsllscppsl
CDI,24lscppsllscppsl
CDI,27lscppsllscppsl
CDI,29lscppsllscppsl
CDI,34lscppsllscppsl
CDI,4lscppsllscppsl
IDS,10lscppsl
IDS,11lscppsl
IDS,12lscppsl
IDS,13lscppsl
IDS,14lscppsl
IDS,15lscppsl
IDS,16lscppsl
IDS,17lscppsl
IDS,18lscppsl
IDS,19lscppsl
IDS,1lscppsl
IDS,20lscppsl
IDS,21lscppsl
IDS,22lscppsl
IDS,23lscppsl
IDS,24lscppsl
IDS,25lscppsl
IDS,26lscppsl
IDS,27lscppsl
IDS,29lscppsl
IDS,2lscppsl
IDS,30lscppsl
IDS,31lscppsl
IDS,32lscppsl
IDS,33lscppsl
IDS,34lscppsl
IDS,35lscppsl
IDS,36lscppsl
IDS,37lscppsl
IDS,38lscppsl
IDS,39lscppsl
IDS,3lscppsl
IDS,40lscppsl
IDS,41lscppsl
IDS,4lscppsl
IDS,5lscppsl
IDS,6lscppsl
IDS,7lscppsl
IDS,8lscppsl
IDS,9lscppsl
