dataset,subids
CDI,hc01
CDI,hc0103
CDI,hc02
CDI,hc0202
CDI,hc03
CDI,hc0301
CDI,hc04
CDI,hc0405
CDI,hc05
CDI,hc0506
CDI,hc06
CDI,hc0608
CDI,hc07
CDI,hc0704
CDI,hc08
CDI,hc0807
CDI,hc09
CDI,hc10
CDI,hc11
CDI,hc1110
CDI,hc12
CDI,hc1215
CDI,hc13
CDI,hc1309
CDI,hc15
CDI,hc16
CDI,hc1614
CDI,hc17
CDI,hc1713
CDI,hc18
CDI,hc1812
CDI,hc19
CDI,hc20
CDI,hc2011
CDI,hc21
CDI,hc2121
CDI,hc22
CDI,hc2217
CDI,hc23
CDI,hc2325
CDI,hc24
CDI,hc2424
CDI,hc25
CDI,hc26
CDI,hc27
CDI,hc2719
CDI,hc28
CDI,hc29
CDI,hc2916
CDI,hc30
CDI,hc3020
CDI,hc31
CDI,hc32
CDI,hc3222
CDI,hc33
CDI,hc3323
CDI,hc34
CDI,hc3418
CDI,hc35
CDI,hc36
CDI,hc38
CDI,hc39
CDI,hc40
CDI,hc4026
CDI,hc41
CDI,hc42
CDI,hc43
CDI,hc44
CDI,hc45
CDI,hc46
CDI,hc4627
CDI,hc47
CDI,hc48
CDI,hc49
CDI,hc50
CDI,hc51
CDI,hc52
CDI,hc53
CDI,hc55
CDI,hc56
CDI,hc57
CDI,hc5728
CDI,hc62
IDS,h01o01
IDS,h02y01
IDS,h03o02
IDS,h04y02
IDS,h05y03
IDS,h06y04
IDS,h07y05
IDS,h08y06
IDS,h09y07
IDS,h10o03
IDS,h11y08
IDS,h12y09
IDS,h13y10
IDS,h14y11
IDS,h15y12
IDS,h16y13
IDS,h17o04
IDS,h18y14
IDS,h19y15
IDS,h20y16
IDS,h21y17
IDS,h22y18
IDS,h23y19
IDS,h24o05
IDS,h25o06
IDS,h26o07
IDS,h27y20
IDS,h28y21
IDS,h29y22
IDS,h30y23
IDS,h31y24
IDS,h32o08
IDS,h33o09
IDS,h34o10
IDS,h35y25
IDS,h36o11
IDS,h37o12
IDS,h38o13
IDS,h39y26
IDS,h40y27
IDS,h41y28
IDS,h42y29
IDS,h43y30
IDS,h44o14
IDS,h45y31
IDS,h46o15
IDS,h47y32
IDS,h48y33
IDS,h49o16
IDS,h50y34
IDS,h51o17
IDS,h52y35
IDS,h53y36
IDS,h54y37
IDS,h55y38
IDS,h56y39
IDS,h57o18
IDS,h58y40
IDS,h59y41
IDS,h60y42
IDS,h61o19
IDS,h62y43
IDS,h63o20
IDS,h64y44
IDS,h65o21
IDS,h66y45
IDS,h67y46
IDS,h68o22
IDS,h69y47
IDS,h70y48
IDS,h71o23
IDS,h72o24
IDS,h73o25
IDS,h74o26
IDS,h75o27
IDS,h76o28
IDS,h77o29
IDS,h78y49
IDS,h79y50
IDS,h80y51
IDS,h81o30
IDS,h82o31
IDS,h83o32
IDS,h84y52
IDS,h85o33
IDS,h86o34
IDS,h87o35
IDS,h88o36
IDS,h89o37
IDS,h90o38
IDS,h91y53
IDS,h92y54
IDS,h93y55
IDS,h94y56
IDS,h95o39
IDS,h96y57
IDS,h97o40
IDS,h98y58
